Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sent,scaled_close
2024-08-21,224.64083485973637,226.08871448701353,223.1830285060583,224.52182006835938,34765500,0.0,0.0,0.4568,0.22452182006835938
2024-08-22,225.90029338876204,226.4457337259973,222.04256465043304,222.66734313964844,43695300,0.0,0.0,0.25601666666666667,0.22266734313964845
2024-08-23,223.78797197411373,226.32673228874265,222.46900358067504,224.9581756591797,38677300,0.0,0.0,0.33416666666666667,0.2249581756591797
2024-08-26,224.87883517993083,225.39452559231563,222.0326490158817,225.29534912109375,30602200,0.0,0.0,0.20743333333333333,0.22529534912109375
2024-08-27,224.12514736512034,226.95151036486342,223.02435510684418,226.1383056640625,35934600,0.0,0.0,0.47680000000000006,0.2261383056640625
2024-08-28,226.02921369079436,227.95312221094204,223.80779089178384,224.611083984375,38052200,0.0,0.0,0.3403428571428572,0.224611083984375
2024-08-29,228.1911537968638,230.98775191089825,226.9812734022471,227.8837127685547,51906300,0.0,0.0,0.25251666666666667,0.22788371276855468
2024-08-30,228.28039594132485,228.4886453526855,225.59287085733376,227.1002655029297,52990800,0.0,0.0,0.3609333333333334,0.2271002655029297
2024-09-03,226.65401607692846,227.1002799762046,219.33523365285652,220.92196655273438,50190600,0.0,0.0,0.22222499999999998,0.22092196655273438
2024-09-04,219.82116129878526,219.94016096302124,215.67582978550038,219.01788330078125,43840200,0.0,0.0,0.034412499999999985,0.21901788330078126
2024-09-05,219.79142381839864,223.60947620664672,219.68233574260833,220.5352020263672,36615400,0.0,0.0,0.5426,0.2205352020263672
2024-09-06,222.09215251756703,223.37145940933704,217.94683622588397,218.98812866210938,48423000,0.0,0.0,0.2810083333333333,0.21898812866210937
2024-09-09,218.98814282610013,219.4344067184307,214.91223769602945,219.077392578125,67180000,0.0,0.0,0.18016666666666667,0.219077392578125
2024-09-10,217.10388142289187,219.6426417511051,214.9320468059923,218.2840118408203,51591000,0.0,0.0,0.3970857142857143,0.2182840118408203
2024-09-11,219.6228241682371,221.2392917639212,216.08243282408242,220.8128662109375,44587100,0.0,0.0,-0.046466666666666656,0.2208128662109375
2024-09-12,220.65420216028613,221.6954946800681,217.99644195502805,220.92196655273438,37455600,0.0,0.0,0.44275000000000003,0.22092196655273438
2024-09-13,221.72523244234597,222.18140791181287,220.06908820245332,220.65419006347656,36766600,0.0,0.0,0.32326428571428567,0.22065419006347656
2024-09-16,214.74362792854853,215.4179946756504,212.14536768072225,214.5254669189453,59357400,0.0,0.0,-0.24875000000000003,0.2145254669189453
2024-09-17,213.96018092212807,215.1006346980314,212.72055067344832,214.99154663085938,45519300,0.0,0.0,0.2620125,0.21499154663085937
2024-09-18,215.74527154351298,220.86246931704028,215.73534481599032,218.85922241210938,59894900,0.0,0.0,0.19141999999999998,0.21885922241210937
2024-09-19,223.12354184254357,227.91347512552952,222.76652771175563,226.97134399414062,66781300,0.0,0.0,0.346125,0.22697134399414062
2024-09-20,228.06222073119503,231.15633305592988,225.7317097608303,226.30690002441406,318679900,0.0,0.0,0.31966249999999996,0.22630690002441406
2024-09-23,225.4540253555904,227.54652178723228,223.9367191660146,224.59124755859375,54146000,0.0,0.0,0.35126999999999997,0.22459124755859375
2024-09-24,226.75316007712865,227.44736512534206,223.85738561877668,225.48377990722656,43556100,0.0,0.0,0.3963285714285715,0.22548377990722657
2024-09-25,223.06400902085235,225.40443143928672,222.16156973744518,224.4920654296875,42308700,0.0,0.0,0.303425,0.2244920654296875
2024-09-26,225.41436171300208,226.60440369502516,223.54004142995942,225.63253784179688,36636700,0.0,0.0,0.17403333333333335,0.22563253784179688
2024-09-27,226.5647236129495,227.6159275297645,225.4143432340109,225.9002685546875,34026000,0.0,0.0,0.339425,0.2259002685546875
2024-09-30,228.1316114938428,231.0670623779297,227.7448474882838,231.0670623779297,54541900,0.0,0.0,0.25985,0.23106706237792968
2024-10-01,227.6159583693189,227.74486962890148,221.88390914906273,224.3334197998047,63285000,0.0,0.0,0.07270999999999998,0.2243334197998047
2024-10-02,224.01608068964856,225.4837987967651,221.16989422947793,224.89869689941406,32880600,0.0,0.0,-0.012249999999999983,0.22489869689941405
2024-10-03,223.27228007150777,224.928424248049,221.46738631978812,223.79788208007812,34044200,0.0,0.0,0.27599166666666664,0.22379788208007811
2024-10-04,226.00938361911108,226.10856009308668,222.27066963907552,224.91851806640625,37245100,0.0,0.0,0.08594999999999997,0.22491851806640625
2024-10-07,222.63759275105315,223.81772316941647,219.49389225502094,219.8509063720703,39505400,0.0,0.0,0.21861250000000004,0.2198509063720703
2024-10-08,222.43925780658088,224.10531361949606,221.3979653574062,223.89706420898438,31855700,0.0,0.0,0.42178125000000005,0.22389706420898436
2024-10-09,223.36153007501719,227.84403724277382,222.96485445261254,227.63577270507812,33591100,0.0,0.0,0.39875,0.22763577270507812
2024-10-10,225.89039642732237,227.59612897487835,225.28545621996582,227.1399383544922,28183500,0.0,0.0,0.44035,0.2271399383544922
2024-10-11,227.39780557308669,227.50689365452033,225.45405843087093,225.66232299804688,31759200,0.0,0.0,0.41059999999999997,0.22566232299804687
2024-10-14,226.80274288926017,229.8076053434174,226.70358155060512,229.3811798095703,39882100,0.0,0.0,0.1376375,0.22938117980957032
2024-10-15,231.672004479983,235.51982138099225,230.44228590022638,231.91001892089844,64751400,0.0,0.0,0.6846249999999999,0.23191001892089844
2024-10-16,229.67870875165642,230.19438406287304,227.9332995992129,229.85720825195312,34082200,0.0,0.0,0.38255,0.22985720825195313
2024-10-17,231.49350124327563,231.91003031839952,228.60765355789445,230.22412109375,32993800,0.0,0.0,0.14299,0.23022412109375
2024-10-18,234.22066437649204,234.22066437649204,232.0686683201459,233.0504608154297,46431500,0.0,0.0,0.4042928571428572,0.23305046081542968
2024-10-21,232.5050454306036,234.88514457730523,232.5050454306036,234.51820373535156,36254500,0.0,0.0,0.362825,0.23451820373535157
2024-10-22,231.94969236544068,234.26036494372266,230.67040061866737,233.90335083007812,38846600,0.0,0.0,0.4022666666666667,0.23390335083007813
2024-10-23,232.1381071008503,233.18931106897517,225.87052966736016,228.84564208984375,52287000,0.0,0.0,0.09564166666666667,0.22884564208984376
2024-10-24,228.07212485007065,228.90516786821388,226.51515714412935,228.65724182128906,31109500,0.0,0.0,0.47965,0.22865724182128908
2024-10-25,227.83412074973037,231.28524701350278,227.665532857223,229.49026489257812,38802300,0.0,0.0,0.51806,0.22949026489257812
2024-10-28,231.38443735420992,232.78272881287972,230.62082086290692,231.46376037597656,36087100,0.0,0.0,0.50528,0.23146376037597657
2024-10-29,231.1662428522856,232.38603471678388,230.39271482775456,231.73150634765625,35417200,0.0,0.0,0.4614,0.23173150634765624
2024-10-30,230.68031899274527,231.53318522639518,227.64570650368097,228.19114685058594,47070900,0.0,0.0,0.1307,0.22819114685058595
2024-10-31,227.43742665071557,227.92336713292326,223.5003599556127,224.035888671875,64370100,0.0,0.0,0.0007500000000000099,0.224035888671875
2024-11-01,219.1368672842602,223.4805363045207,218.44267740554844,221.06077575683594,65276700,0.0,0.0,0.343875,0.22106077575683594
2024-11-04,219.15671602208408,220.94177147156717,217.88733586004025,220.16824340820312,44944500,0.0,0.0,0.16325833333333337,0.22016824340820312
2024-11-05,219.9599772111233,222.0921350198155,219.30544885909725,221.59628295898438,28111300,0.0,0.0,0.2370857142857143,0.22159628295898437
2024-11-06,220.76327216240406,224.19457534628128,219.35505401685137,220.8723602294922,54561100,0.0,0.0,0.387085,0.2208723602294922
2024-11-07,222.76654726221693,225.98958631695007,222.70704742389805,225.5928955078125,42137700,0.0,0.0,0.5554400000000002,0.2255928955078125
2024-11-08,225.53330763226646,227.01257809039103,224.77878865400953,225.3248291015625,38328800,0.25,0.0,0.46383,0.2253248291015625
2024-11-11,223.37892800863307,224.07388164377818,219.90414468405433,222.61447143554688,42005600,0.0,0.0,0.3237125,0.22261447143554688
2024-11-12,222.9321731823864,223.96467356190874,221.75074442821315,222.61447143554688,40398300,0.0,0.0,0.468475,0.22261447143554688
2024-11-13,222.39605879884869,225.01703765642938,221.15506473467502,223.49806213378906,48566200,0.0,0.0,0.4662583333333334,0.22349806213378906
2024-11-14,223.398802697962,227.22105551450989,223.3789425502784,226.57574462890625,44923900,0.0,0.0,0.27113,0.22657574462890626
2024-11-15,224.76882873863602,225.28508648780175,222.65418524957263,223.37892150878906,47923700,0.0,0.0,0.49832,0.22337892150878907
2024-11-18,223.62711979019133,228.08477571151616,223.54769435597734,226.37716674804688,44633700,0.0,0.0,0.30388333333333334,0.22637716674804687
2024-11-19,225.34464764897942,228.5017442258817,225.02696106605572,226.63528442382812,36211800,0.0,0.0,0.37329166666666663,0.22663528442382813
2024-11-20,226.41689814964724,228.27342054954684,224.26253412411586,227.35012817382812,35169600,0.0,0.0,0.058662500000000006,0.22735012817382813
2024-11-21,227.2309725554499,228.50174921258224,224.08381355701644,226.87356567382812,42108300,0.0,0.0,0.5628,0.22687356567382813
2024-11-22,226.4168797117104,229.05771868234922,226.4168797117104,228.21383666992188,38168300,0.0,0.0,0.6273875,0.22821383666992187
2024-11-25,229.79240040372403,231.5694972757357,228.08479132337303,231.19223022460938,90152800,0.0,0.0,0.31539,0.23119223022460939
2024-11-26,231.6489234928732,233.87279036398945,231.6489234928732,233.366455078125,45986200,0.0,0.0,0.4246666666666667,0.233366455078125
2024-11-27,232.78071887838198,233.99193037541463,232.125470334311,233.23739624023438,33498400,0.0,0.0,0.45527000000000006,0.23323739624023437
2024-11-29,233.11825362062933,236.0966394139658,232.28430923421996,235.62010192871094,28481400,0.0,0.0,0.2663714285714286,0.23562010192871094
2024-12-02,235.5605532676808,239.0551819380818,235.45134517492735,237.86383056640625,48137100,0.0,0.0,0.2904875,0.23786383056640625
2024-12-03,238.08222901174219,241.01097200063165,237.17878168890522,240.90176391601562,38861000,0.0,0.0,0.49417500000000003,0.24090176391601562
2024-12-04,241.12019505186365,242.35126670496282,239.5118714775545,241.25918579101562,44383900,0.0,0.0,0.4641666666666666,0.24125918579101563
2024-12-05,242.23210799536452,242.77813324010052,240.3855083044983,241.2889404296875,40033900,0.0,0.0,0.2749666666666667,0.2412889404296875
2024-12-06,241.15989600483465,242.86750503393802,240.33587413565135,241.09039306640625,36870600,0.0,0.0,0.48983333333333334,0.24109039306640626
2024-12-09,240.08769312504634,245.4587194212017,240.00826768189094,244.9722442626953,44649200,0.0,0.0,0.6358,0.24497224426269532
2024-12-10,245.11121388943334,246.4217108653419,243.57237825215392,245.98487854003906,36914800,0.0,0.0,0.08446666666666668,0.24598487854003906
2024-12-11,246.17350623578653,248.9930409884295,244.48574226451257,244.71409606933594,45205800,0.0,0.0,0.5828166666666666,0.24471409606933595
2024-12-12,245.11120954102955,246.9478867446912,243.90992066775823,246.1735076904297,32777500,0.0,0.0,0.40338125,0.2461735076904297
2024-12-13,246.03453629863122,247.4939314395242,244.46591792091505,246.34230041503906,33155300,0.0,0.0,0.34291,0.24634230041503907
2024-12-16,246.20327957624434,249.56885459541954,245.86571770543418,249.23129272460938,51694800,0.0,0.0,0.34492307692307694,0.24923129272460937
2024-12-17,248.2782345553336,252.0012166921119,247.98039295462073,251.6537322998047,51356400,0.0,0.0,0.11792500000000002,0.2516537322998047
2024-12-18,250.343283238806,252.44800456803839,245.9551295369763,246.2628936767578,56774100,0.0,0.0,0.24480000000000005,0.2462628936767578
2024-12-19,245.71681628677703,250.18439476471843,245.30976661195103,247.9903106689453,60882300,0.0,0.0,0.4711,0.2479903106689453
2024-12-20,246.25292226826556,253.16278373693368,243.9198625662762,252.65646362304688,147495300,0.0,0.0,0.0,0.2526564636230469
2024-12-23,252.93446477293034,253.80811434244586,251.6239676953758,253.4308624267578,40858800,0.0,0.0,0.23662999999999998,0.25343086242675783
2024-12-24,253.64924013847912,256.34962902881983,253.45066898797964,256.3397216796875,23234700,0.0,0.0,0.44472500000000004,0.2563397216796875
2024-12-26,256.32980188696064,258.2260444048055,255.77383898408218,257.15380859375,27237100,0.0,0.0,0.5955333333333334,0.25715380859375
2024-12-27,255.9724022209019,256.8361595932908,251.23677948504655,253.74855041503906,42355300,0.0,0.0,0.09405000000000001,0.2537485504150391
2024-12-30,250.41276299480816,251.67361731138075,248.9434301413362,250.3829803466797,35557500,0.0,0.0,0.0,0.25038298034667966
2024-12-31,250.6212497119267,251.4551941340452,247.63292614272083,248.6157989501953,39480700,0.0,0.0,0.21177500000000002,0.2486157989501953
2025-01-02,247.1364952815275,247.30528379202167,240.07773614045146,242.09310913085938,55740700,0.0,0.0,0.0,0.24209310913085938
2025-01-03,241.60665893554688,242.42074318433572,240.14724866814672,241.60665893554688,40244100,0.0,0.0,0.45883,0.24160665893554686
2025-01-06,242.54980162717402,245.54804748087855,241.4477983095151,243.23483276367188,45045600,0.0,0.0,0.25770000000000004,0.2432348327636719
2025-01-07,241.22939201717418,243.78088314896328,239.61114601786818,240.46495056152344,40856000,0.0,0.0,0.7257750000000001,0.24046495056152345
2025-01-08,240.17702168463396,241.95413364050106,238.32049944087447,240.95140075683594,37628900,0.0,0.0,0.29969,0.24095140075683594
2025-01-10,238.28077607985776,238.42970445265777,231.32128701842691,235.1435546875,61710900,0.0,0.0,0.6150249999999999,0.2351435546875
2025-01-13,231.84748509521594,232.9792711307645,228.06493742769467,232.71121215820312,49630700,0.0,0.0,0.34400000000000003,0.23271121215820312
2025-01-14,233.05869925952226,234.41882398797216,230.79512716232853,231.5992889404297,39435300,0.0,0.0,0.2981,0.2315992889404297
2025-01-15,232.94949481929564,237.2383779015073,232.74100113522098,236.15621948242188,39832000,0.0,0.0,0.1211625,0.23615621948242188
2025-01-16,235.6399687194268,236.29520209930612,226.3871093224655,226.61544799804688,71759100,0.0,0.0,0.3907285714285714,0.22661544799804687
2025-01-17,230.44762501944012,230.61639839146835,226.83385097126646,228.3230438232422,68488300,0.0,0.0,0.5183833333333333,0.2283230438232422
2025-01-21,222.38615194982364,222.80312416686704,217.79944241349193,221.03594970703125,98070400,0.0,0.0,0.28352999999999995,0.22103594970703125
2025-01-22,218.2064751614249,222.5052806842356,218.2064751614249,222.21737670898438,64126500,0.0,0.0,0.37683999999999995,0.22221737670898437
2025-01-23,223.12080464680741,225.39429904989126,220.69838187044374,222.048583984375,60234800,0.0,0.0,0.35384000000000004,0.222048583984375
2025-01-24,223.160517277336,224.00439930767484,219.81480209957203,221.1749267578125,54697900,0.0,0.0,0.42775,0.2211749267578125
2025-01-27,222.4059977899183,230.47741293083342,222.36627749626697,228.20391845703125,94863400,0.0,0.0,0.2894285714285714,0.22820391845703125
2025-01-28,229.18679454547646,238.4594987479956,229.147074251248,236.54339599609375,75707600,0.0,0.0,0.20250000000000004,0.23654339599609375
2025-01-29,232.43322998057818,238.13188043636077,232.32402189200354,237.63548278808594,45486100,0.0,0.0,0.3895916666666666,0.23763548278808594
2025-01-30,236.95045561956258,239.05517683623282,235.50098294542886,235.87823486328125,55658300,0.0,0.0,0.46082999999999996,0.23587823486328124
2025-01-31,245.40906406001392,245.40906406001392,231.75812916176676,234.2996826171875,100959800,0.0,0.0,0.599425,0.2342996826171875
2025-02-03,228.33299411580026,230.15973381299622,224.0738938399255,226.36724853515625,73063300,0.0,0.0,0.1981,0.22636724853515625
2025-02-04,225.61271003037928,231.45035067549782,225.0170268486458,231.1227264404297,45067300,0.0,0.0,0.25398333333333334,0.2311227264404297
2025-02-05,226.8835194075747,230.9936915376493,226.62539807097704,230.79513549804688,39620300,0.0,0.0,0.0907,0.23079513549804687
2025-02-06,229.62360070928509,232.11552641696264,228.76979621063217,231.53970336914062,29925300,0.0,0.0,0.416475,0.23153970336914062
