Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sent
2021-09-07,372.60788240331436,379.62623605306027,369.90163679477064,378.85302734375,10793800,0.0,0.0,0.0
2021-09-08,376.8506838787292,377.554494807856,371.5274349497435,374.2832336425781,11067200,0.0,0.0,0.0
2021-09-09,374.35265150125184,376.5235596799351,373.2919586101133,374.7095031738281,9098900,0.0,0.0,0.0
2021-09-10,378.0401728089301,380.4490421796912,374.9671831109393,375.3934326171875,11549600,0.0,0.0,0.0
2021-09-13,378.3573682100579,378.42676610215375,371.091191093844,373.2323913574219,13026300,0.0,0.0,0.0
2021-09-14,374.1147105903398,375.2943540089102,371.8446366690672,373.2522888183594,8711600,0.0,0.0,0.0
2021-09-15,373.7181835773616,374.27330631053246,364.4694153158542,370.6650085449219,17940300,0.0,0.0,0.0
2021-09-16,369.54480025714764,370.30808636926264,366.49159530485406,369.81243896484375,11934200,0.0,0.0,0.0
2021-09-17,368.1769018696883,368.1769018696883,358.442377119898,361.5451354980469,26299000,0.0,0.0,0.0
2021-09-20,356.1722137811243,357.88716469623876,346.7549130689674,352.60357666015625,19822800,0.0,0.0,0.0
2021-09-21,355.3792435144386,356.90584622489916,352.09805961371984,354.3681335449219,11751900,0.0,0.0,0.0
2021-09-22,344.2072837407498,346.7945484933344,337.7242076653426,340.2222595214844,43692900,0.0,0.0,0.0
2021-09-23,342.3535812862905,346.6260900015658,340.0141399174007,342.9483642578125,21806300,0.0,0.0,0.0
2021-09-24,340.2520038562021,351.26530437450145,339.3895822550185,349.88739013671875,18801900,0.0,0.0,0.0
2021-09-27,346.76487371815995,352.05838496337213,344.05862769451767,350.5020446777344,15205800,0.0,0.0,0.0
2021-09-28,344.9408867412506,346.55670226470806,335.96968001839247,337.6846008300781,21710300,0.0,0.0,0.0
2021-09-29,340.1628485218163,342.2247589133075,335.93003006958673,336.6536560058594,14452200,0.0,0.0,0.0
2021-09-30,337.48631691218293,339.8158354226693,335.20632078756825,336.435546875,16547100,0.0,0.0,0.0
2021-10-01,338.63621089401767,342.0165298799602,335.69209430346353,340.0240478515625,14905300,0.0,0.0,0.0
2021-10-04,332.6091983075989,333.01563287337103,319.8908972208889,323.3901672363281,42885000,0.0,0.0,0.0
2021-10-05,325.7196471719252,332.26219920558924,323.3207305857964,330.0615234375,35377900,0.0,0.0,0.0
2021-10-06,326.86958228902955,331.46920530979725,322.96387782374825,330.73565673828125,26443000,0.0,0.0,0.0
