Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sent
2021-09-07,110.26065207734742,110.37118215515314,108.76840151373538,109.00526428222656,3436110,0.0,0.0,0.0
2021-09-08,109.06844869591875,109.81853109941842,108.64209309702079,109.4869155883789,3122728,0.0,0.0,0.020125000000000004
2021-09-09,108.83948351961085,109.71588601075894,108.61050941234141,108.75263214111328,3669682,0.0,0.0,0.1806
2021-09-10,109.60534786669412,110.03960477723481,108.16836831042725,108.18415832519531,4157955,0.0,0.0,0.2202
2021-09-13,109.27372614555996,109.7395504036871,108.57101390138457,109.07633209228516,4334729,0.0,0.0,0.55505
2021-09-14,109.27373803925563,109.40795945717358,106.85770210966557,107.5525131225586,4659198,0.0,0.0,0.04801666666666667
2021-09-15,107.55251757277055,108.80000432272152,107.11826067174411,108.32627868652344,3403579,0.0,0.0,0.02939999999999998
2021-09-16,108.38941946547915,108.91841635894802,107.14982164233722,107.71829986572266,2765624,0.0,0.0,0.7362500000000001
2021-09-17,107.18141664986456,107.31563805244646,106.62872842580704,106.7708511352539,5890340,0.0,0.0,0.0
2021-09-20,105.72076516360765,106.7313891210759,104.83646762560198,106.04447937011719,4990152,0.0,0.0,-0.156225
2021-09-21,106.67611168820936,107.10246726764741,104.96278806261252,104.9864730834961,4261927,0.0,0.0,0.0
2021-09-22,105.57865218183083,106.88141043651316,105.38126437654914,106.2971420288086,3767901,0.0,0.0,0.433375
2021-09-23,106.78664573334206,108.49996922008955,106.61294299250602,107.95516967773438,3151807,0.0,0.0,0.2150875
2021-09-24,108.19202347876046,109.33686847659209,107.97095074411622,108.55520629882812,3100762,0.0,0.0,0.13986666666666667
2021-09-27,108.92632932897756,109.80273177531737,108.54734380614053,109.40005493164062,3459017,0.0,0.0,0.31220000000000003
2021-09-28,109.88167560741044,110.29224113356163,108.33415357725644,108.53943634033203,4513072,0.0,0.0,0.3648
2021-09-29,108.74472193207923,110.48173675808367,107.72620939729477,109.88957977294922,3947499,0.0,0.0,0.41960000000000003
2021-09-30,110.53702220860595,110.9870565340271,109.35269548544827,109.69219970703125,6090230,0.0,0.0,0.0
2021-10-01,111.32658512384185,113.67154749486896,110.82916809957739,113.15834045410156,6907889,0.0,0.0,0.0
2021-10-04,112.70037345526471,115.2743095408116,112.39244928193794,113.78205871582031,7689251,0.0,0.0,0.085
2021-10-05,114.28737027504758,114.48475173788707,112.62141679312326,113.02409362792969,7297524,0.0,0.0,0.09182500000000002
2021-10-06,112.49508492707879,113.19778461506826,111.23970957795534,112.40034484863281,5573506,0.0,0.0,0.5885
2021-10-07,112.6924706667278,113.22146757004778,111.74500694344147,111.96607971191406,3999695,0.0,0.0,0.13965000000000002
2021-10-08,111.96608809991918,113.41887011838266,111.36602979717833,113.07935333251953,3902940,0.0,0.0,0.0
